group,type,filterable,filter_desc,section,date,initial_count,coordinates,close_date,moh_name
286,科技园弯7号,,5月16日，因2起新病例与早前确诊的5起病例，科技园弯7号被列为感染群。,工业区,2020-5-16,7,"1.3113733, 103.6305948",,7 Tech Park Crescent
285,大士景广场137号,,5月16日，因早前确诊的5起病例，大士景广场137号被列为感染群。,工业区,2020-5-16,5,"1.3013647, 103.6276706",,137 Tuas View Square
284,加基武吉工业台33号,,5月15日，因8起新病例与早前确诊的5起病例，大士景二径33号被列为感染群。,工业区,2020-5-15,13,"1.3358903, 103.9017641",,80 Kaki Bukit Industrial Terrace
283,卓源东路48号,,5月15日，因2起新病例与早前确诊的5起病例，卓源东路48号被列为感染群。,工业区,2020-5-15,7,"1.3368310, 103.7543414",,48 Toh Guan Road East
282,大士南1道55号,,5月15日，因17起新病例与早前确诊的1起病例，大士南1道55号被列为感染群。,工业区,2020-5-15,18,"1.3172416, 103.6288063",,55 Tuas South Avenue 1
281,大士景一径119号,,5月15日，因5起早前确诊病例，大士景一径119号被列入感染群。,工业区,2020-5-15,5,"1.3008172, 103.6280416",,119 Tuas View Walk 1
280,大士景二径33号,,5月15日，因19起新病例与早前确诊的5起病例，大士景二径33号被列为感染群。,工业区,2020-5-15,24,"1.2996710, 103.6267487",,33 Tuas View Walk 2
279,柏鲁马路2号,,5月14日，因11起早前确诊病例，柏鲁马路（Perumal Road）2号被列入感染群。,工业区,2020-5-14,11,"1.3129443, 103.8556347",,2 Perumal Road
278,大士景二径29号,,5月13日，因2起新病例与早前确诊的3起病例，大士景二径29号被列为感染群。,工业区,2020-5-13,5,"1.2994648, 103.6272796",,29 Tuas View Walk 2
277,大士路17C号,,5月13日，因早前确诊的7起病例，大士路17C号被列为感染群。,工业区,2020-5-13,7,"1.3133541, 103.6557676",,17C Tuas Road
276,大成道1020号,,5月13日，因早前确诊的110起病例，大成道1020号被列为感染群。,工业区,2020-5-13,110,"1.3367945, 103.8918820",,1020 Tai Seng Avenue
275,双溪加株4街1号,,5月13日，因早前确诊的11起病例，双溪加株4街1号被列为感染群。,工业区,2020-5-13,11,"1.4191997, 103.7502655",,1 Sungei Kadut Street 4
274,尼德路119号,,5月13日，因早前确诊的7起病例，尼德路119号被列为感染群。,工业区,2020-5-13,7,"1.3272839, 103.6981165",,119 Neythal Road
273,建德弯3号,,5月13日，因1起新病例与早前确诊的4起病例，建德弯3号被列为感染群。,工业区,2020-5-13,5,"1.3314775, 103.6896247",,3 Kian Teck Crescent
272,兀兰E1工业区5号,,5月12日，因早前确诊的6起病例，兀兰E1工业区5号被列为感染群。,工业区,2020-5-12,6,"1.4534157,103.7948373",,5 Woodlands Industrial Park E1
271,科技园弯46号,,5月12日，因2起新病例与早前确诊的1起病例，科技园弯46号（46 Tech Park Crescent）被列为感染群。,工业区,2020-5-12,3,"1.3101839,103.6301770",,46 Tech Park Crescent
270,双溪加株道3号,,5月12日，因早前确诊的27起病例，双溪加株道3号被列为感染群。,工业区,2020-5-12,27,"1.3987923,103.7538274",,3 Sungei Kadut Avenue
269,圣诺哥南路7号,,5月12日，因早前确诊的3起病例，圣诺哥南路7号被列为感染群。,工业区,2020-5-12,3,"1.4589696,103.8067659",,7 Senoko South Road
268,圣诺哥路36号,,5月12日，因早前确诊的13起病例，圣诺哥路36号被列为感染群。,工业区,2020-5-12,13,"1.4654666,103.8036076",,36 Senoko Road
267,罗央6道3号,,5月12日，因早前确诊的5起病例，罗央6道3号被列为感染群。,工业区,2020-5-12,5,"1.3851175,103.9739650",,3 Loyang Way 6
266,建德通道45号,,5月12日，因3起新病例与早前确诊的14起病例，建德通道45号被列为感染群。,工业区,2020-5-12,17,"1.3302866,103.6893357",,45 Kian Teck Drive
265,兀兰路566号,,5月11日，因早前确诊的5起病例，兀兰路566号（566 Woodlands Road）被列为感染群。,工业区,2020-5-11,5,"1.4080028,103.7574756",,566 Woodlands Road
264,圣诺哥通道47号,,5月11日，因1起新病例与早前确诊的25起病例，圣诺哥通道47号（47 Senoko Drive）被列为感染群。,工业区,2020-5-11,26,"1.4649638,103.8051938",,47 Senoko Drive
263,Tuas South Apartments,,5月11日，因早前确诊的5起病例，大士南1道的Tuas South Apartments被列为感染群。,工业区,2020-5-11,5,"1.3133726,103.6279253",,Tuas South Apartments (69R Tuas South Avenue 1)
262,义顺A工业区515号,,5月10日，因14起早前确诊病例，义顺A工业区515号（515 Yishun Industrial Park A）被列为感染群。,工业区,2020-5-10,14,"1.4423716,103.8365047",,515 Yishun Industrial Park A
261,兀兰E1工业区11号,,5月10日，因6起早前确诊病例，兀兰E1工业区11号（11 Woodlands Industrial Park E1）被列为感染群。,工业区,2020-5-10,6,"1.4537709,103.7954705",,11 Woodlands Industrial Park E1
260,兀兰E1工业区9号,,5月10日，因4起新病例与早前确诊的9起病例，兀兰E1工业区9号（9 Woodlands Industrial Park E1）被列为感染群。,工业区,2020-5-10,13,"1.4536583,103.7952515",,9 Woodlands Industrial Park E1
259,丹那美拉海岸路建筑工地,,5月10日，因12起早前确诊病例，位于丹那美拉海岸路（Tanah Merah Coast Road）的建筑工地被列为感染群。,工业区,2020-5-10,12,"1.3169111,104.0127250",,a construction site at Tanah Merah Coast Road
258,实龙岗北1道建筑工地,,5月10日，因12起早前确诊病例，位于实龙岗北1道（15 Serangoon North Avenue 1）的建筑工地被列为感染群。,工业区,2020-5-10,12,"1.3675958,103.8742017",,a construction site at 15 Serangoon North Avenue 1
257,兀兰E5工业区212号,,5月9日，因25起早前确诊病例，兀兰E5工业区212号被列为感染群。,工业区,2020-5-9,25,"1.4510112,103.7927470",,212 Woodlands Industrial Park E5
256,大士景环3号,,5月9日，因2起新病例与早前确诊的31起病例，大士景环3号被列为感染群。,工业区,2020-5-9,33,"1.2946788,103.6345513",,3 Tuas View Circuit
255,大士南1道69号,,5月9日，因5起新病例与早前确诊的24起病例，大士南1道69号被列为感染群。,工业区,2020-5-9,29,"1.3135122,103.6275522",,69 Tuas South Avenue 1
254,先驱路段径2号,,5月9日，因21起早前确诊病例，先驱路段径2号（2 Pioneer Sector Walk）被列为感染群。,工业区,2020-5-9,21,"1.2972323,103.6684294",,2 Pioneer Sector Walk
253,克兰芝路20号,,5月9日，因3起新病例与早前确诊的5起病例，克兰芝路20号被列为感染群。,工业区,2020-5-9,8,"1.4349092,103.7555932",,20 Kranji Road
251,加基武吉工业台44号,,5月9日，因6起早前确诊病例，加基武吉工业台44号（44 Kaki Bukit Industrial Terrance）被列为感染群。,工业区,2020-5-9,6,"1.3361609,103.9020341",,44 Kaki Bukit Industrial Terrance
250,德福南1街9号,,5月9日，因5起早前确诊病例，德福南1街9号被列为感染群。,工业区,2020-5-9,5,"1.3455344,103.8983456",,9 Defu South Street 1
249,布罗巷3号,,5月9日，因10起早前确诊病例，布罗巷3号（3 Buroh Lane）被列为感染群。,工业区,2020-5-9,10,"1.3148832,103.7246810",,3 Buroh Lane
248,大士景2径57号,,5月8日，因3起新病例与早前确诊的11起病例，大士景2径57号被列为感染群。,工业区,2020-5-8,14,"1.3001659,103.6270327",,57 Tuas View Walk 2
247,科技园弯11号,,5月8日，因12起新病例与早前确诊的12起病例，科技园弯11号被列为感染群。,工业区,2020-5-8,24,"1.3110024, 103.6315723",,11 Tech Park Crescent
246,双溪加株环道53号,,5月8日，因2起新病例与早前确诊的12起病例，双溪加株环道53号被列为感染群。,工业区,2020-5-8,14,"1.4100352,103.7437980",,53 Sungei Kadut Loop
245,圣诺哥通道63号,,5月8日，因2起新病例与早前确诊的9起病例，圣诺哥通道63号被列为感染群。,工业区,2020-5-8,11,"1.4670046,103.8080184",,63 Senoko Drive
244,加基武吉工业台25号,,5月8日，因16起新病例与早前确诊的1起病例，加基武吉工业台25号被列为感染群。,工业区,2020-5-8,17,"1.3362439,103.9028809",,25 Kaki Bukit Industrial Terrace
243,大士景广场52号,,5月7日，因6起新病例，大士景广场（Tuas View Square）52号被列为感染群。,工业区,2020-5-7,6,"1.3020019,103.6277448",,52 Tuas View Square
242,大士1通道3号,,5月7日，因1起新病例与早前确诊的14起病例，大士1通道（Tuas Drive 1）3号被列为感染群。,工业区,2020-5-7,15,"1.3216457,103.6570715",,3 Tuas Drive 1
241,科技园弯5号,,5月7日，因2起新病例与早前确诊的38起病例，科技园弯5号（5 Tech Park Crescent）被列为感染群。,工业区,2020-5-7,40,"1.3114678,103.6303401",,5 Tech Park Crescent
240,双溪加株道4号,,5月7日，因42起早前确诊病例，双溪加株道（Sungei Kadut Avenue）4号被列为感染群。,工业区,2020-5-7,42,"1.4001458,103.7550987",,4 Sungei Kadut Avenue
239,加基武吉工业台98号,,5月7日，因31起新病例，加基武吉工业台（Kaki Bukit Industrial Terrace）98号被列为感染群。,工业区,2020-5-7,31,"1.3359770,103.9013491",,98 Kaki Bukit Industrial Terrace
238,第六洛阳路5号,,5月7日，因8起早前确诊病例，第六洛阳路（Sixth Lok Yang Road）5号被列为感染群。,工业区,2020-5-7,8,"1.3248144,103.6833100",,5 6th Lok Yang Road
237,大士景二径35号,,5月6日，因1起新病例与早前确诊的24起病例，大士景二径35号（35 Tuas View Walk 2）被列为感染群。,工业区,2020-5-6,25,"1.2997521,103.6265304",,35 Tuas View Walk 2
236,大士连四路50A号,,"
5月6日，因16起早前确诊病例，大士连四路50A号被列为感染群。",工业区,2020-5-6,16,"1.3403351,103.6377736",,50A Tuas Link 4
235,科技园弯14号,,5月6日，因1起新病例与早前确诊的8起病例，科技园弯14号被列为感染群。,工业区,2020-5-6,9,"1.3106943,103.6301900",,14 Tech Park Crescent
234,淡滨尼62街,,5月6日，因10起新病例与早前确诊的56起病例，淡滨尼62街被列为感染群。,工业区,2020-5-6,66,"1.3655403,103.9449295",,Tampines Street 62
233,建德通道36号与38号,,5月6日，因6起新病例与早前确诊的9起病例，建德通道36号与38号被列为感染群。,工业区,2020-5-6,15,"1.3311703,103.6909185",,36 & 38 Kian Teck Drive
232,第四振美路5号,,5月6日，因38起新病例与早前确诊的17起病例，第四振美路5号被列为感染群。,工业区,2020-5-6,55,"1.3324274,103.7175394",,5 4th Chin Bee Road
231,贲耐巷20号,,5月6日，因11起新病例与早前确诊的2起病例，贲耐巷20号被列为感染群。,工业区,2020-5-6,13,"1.3053022,103.6738794",,20 Benoi Lane
230,大士景广场131号,,5月5日，因2起新病例与早前确诊的4起病例，大士景广场131号被列为感染群。,工业区,2020-5-5,6,"1.3012239,103.6280480",,131 Tuas View Square
229,大士景弄15号,,5月5日，因3起新病例与早前确诊的8起病例，大士景弄15号（15 Tuas View Close）被列为感染群。,工业区,2020-5-5,11,"1.3005497,103.6241472",,15 Tuas View Close
228,大士1道80号,,5月5日，因16起早前确诊病例，大士1道80号被列为感染群。,工业区,2020-5-5,16,"1.3333437,103.6492494",,80 Tuas Avenue 1
227,科技园弯9号,,5月5日，因6起早前确诊病例，科技园弯9号被列为感染群。,工业区,2020-5-5,6,"1.3112795,103.6308476",,9 Tech Park Crescent
226,双溪加株环道31号,,5月5日，因8起早前确诊病例，双溪加株环道31号被列为感染群。,工业区,2020-5-5,8,"1.4158660,103.7434724",,31 Sungei Kadut Loop
225,北海岸大道1号,,5月5日，因11起早前确诊病例，北海岸大道1号被列为感染群。,工业区,2020-5-5,11,"1.4570609,103.7898516",,1 North Coast Drive
224,金文泰N2C3建筑工地,,5月5日，因27起早前确诊病例，金文泰N2C3建筑工地被列为感染群。,工业区,2020-5-5,27,"1.3225392,103.7632449",,a construction site at Clementi N2C3
223,中央林荫道100A号,,5月5日，因6起新病例与早前确诊的1起病例，中央林荫道100A号被列为感染群。,工业区,2020-5-5,7,"1.2766213,103.8571676",,100A Central Boulevard
222,贲耐路60号,,5月5日，因16起早前确诊病例，贲耐路60号被列为感染群。,工业区,2020-5-5,16,"1.3274411,103.6819397",,60 Benoi Road
221,大士盆地连路6号,,5月4日，因6起新病例与早前确诊的5起病例，大士盆地连路6号被列为感染群。,工业区,2020-5-4,11,"1.3183411,103.6485043",,6 Tuas Basin Link
220,义顺Melody Springs工地,,5月4日，因2起新病例与早前确诊的41起病例，义顺44街的Melody Springs建筑工地被列为感染群。,工业区,2020-5-4,43,"1.4281329,103.8520821",,Melody Springs construction site (477A Yishun Street 44)
219,大士1道海陆机器工程公司,,5月4日，因13起早前确诊病例，大士1道的海陆机器工程公司（Hai Leck Engineering Pte Ltd）被列为感染群，这是海陆机器工程公司的第二个感染群。,工业区,2020-5-4,13,"1.3303863,103.6464938",,Hai Leck Engineering Pte Ltd (9 Tuas Avenue 1)
218,兀兰E9工业园64号,,5月3日，因11起早前确诊病例，兀兰E9工业园（Woodlands Industrial Park E9）64号被列为感染群。,工业区,2020-5-3,11,"1.4509449,103.7993706",,64 Woodlands Industrial Park E9
217,科技园弯9A号,,5月3日，因24起早前确诊病例，科技园弯（Tech Park Crescent）9A号被列为感染群。,工业区,2020-5-3,24,"1.3112332, 103.6309728",,9A Tech Park Crescent
216,双溪加株2街23号,,5月3日，因29起早前确诊病例，双溪加株2街（Sungei Kadut Street 2）23号被列为感染群。,工业区,2020-5-3,29,"1.4135320, 103.7469633",,23 Sungei Kadut Street 2
215,卡尔大道15号,,5月3日，因11起早前确诊病例，卡尔大道（Gul Way）15号被列为感染群。,工业区,2020-5-3,11,"1.3156004,103.6716044",,15 Gul Way
214,繁荣路16号,,5月3日，因9起早前确诊病例，繁荣路（Fan Yoong Road）16号被列为感染群。,工业区,2020-5-3,9,"1.3325345,103.7040642",,16 Fan Yoong Road
213,宏茂桥NCS中心,,5月3日，因3起早前确诊病例，宏茂桥62街（Ang Mo Kio Street 62）5号的NCS中心被列为感染群。,工业区,2020-5-3,3,"1.3878220,103.8440554",,NCS Hub (5 Ang Mo Kio Street 62)
212,大士南2街2号,,5月2日，因6起新病例与早前确诊的9起病例，大士南2街2号（2 Tuas South Street 2）被列为感染群。,工业区,2020-5-2,15,"1.3081010,103.6315482",,2 Tuas South Street 2
211,大士景广场21号,,5月2日，因2起新病例与早前确诊的129起病例，大士景广场21号被列为感染群。,工业区,2020-5-2,131,"1.2989515,103.6275179",,21 Tuas View Square
210,大士三道16号,,5月2日，因2起新病例与早前确诊的4起病例，大士三道16号（16 Tuas Avenue 3）被列为感染群。,工业区,2020-5-2,6,"1.3237162,103.6549588",,16 Tuas Avenue 3
209,双溪加株环道34号,,5月2日，因1起新病例与早前确诊的14起病例，双溪加株环道34号（34 Sungei Kadut Loop）被列为感染群。,工业区,2020-5-2,15,"1.4147947,103.7424577",,34 Sungei Kadut Loop
208,尼德路5号,,5月2日，因3起新病例与早前确诊的1起病例，尼德路5号（5 Neythal Road）被列为感染群。,工业区,2020-5-2,4,"1.3256554,103.7037572",,5 Neythal Road
207,兀兰E5工业区148号,,5月1日，因1起新病例与早前确诊的20起病例，兀兰E5工业区148号被列为感染群。,工业区,2020-5-1,21,"1.4521975, 103.7977771",,148 Woodlands Industrial Park E5
206,双溪加株道20号,,5月1日，因15起早前确诊病例，双溪加株道20号被列为感染群。,工业区,2020-5-1,15,"1.4048812, 103.7553690",,20 Sungei Kadut Avenue
205,大士景广场15号,,5月1日，因45起新病例与早前确诊的27起病例，大士景广场15号被列为感染群。,工业区,2020-5-1,72,"1.2993462,103.6265444",,15 Tuas View Square
204,大士景坊12号,,5月1日，因8起早前确诊病例，大士景坊12号（12 Tuas View Place）被列为感染群。,工业区,2020-5-1,8,"1.2985139,103.6298760",,12 Tuas View Place
203,建德路19号,,5月1日，因8起早前确诊病例，建德路19号被列为感染群。,工业区,2020-5-1,8,"1.3286958,103.6892931",,19 Kian Teck Road
202,大士南垃圾焚化厂,,5月1日，因8起早前确诊病例，大士南垃圾焚化厂被列为感染群。,工业区,2020-5-1,8,"1.2965867,103.6192977",,Tuas South Incineration Plant (98 Tuas South Avenue 3)
201,裕群圈68号客工宿舍,,5月1日，因10起早前确诊病例，位于裕群圈68号的客工宿舍被列为感染群。,工业区,2020-5-1,10,"1.3267529,103.6724696",,Joo Koon Lodge (68 Joo Koon Circle)
200,大士景广场54和56号,,4月30日，因3起新病例与早前确诊的11起病例，大士景广场54和56号被列为感染群。,工业区,2020-4-30,14,"1.3020923,103.6274367",,54/56 Tuas View Square
199,大士南5街81号,,4月30日，因14起早前确诊病例，大士南5街81号被列为感染群。,工业区,2020-4-30,14,"1.2985377,103.6240796",,81 Tuas South Street 5
198,大士10道2号,,4月30日，因5起早前确诊病例，大士10道2号被列为感染群。,工业区,2020-4-30,5,"1.3276017,103.6458050",,2 Tuas Avenue 10
197,大士10道1号,,4月30日，因20起早前确诊病例，大士10道1号被列为感染群。,工业区,2020-4-30,20,"1.3286161,103.6448468",,1 Tuas Avenue 10
196,大士公寓Space,,4月30日，因1起新病例与早前确诊的16起病例，位于大士1道16号的Space @ Tuas Apartment被列为感染群。,工业区,2020-4-30,17,"1.3302905,103.6476747",,Space @ Tuas Apartment (16 Tuas Avenue 1)
195,顺利路17号,,4月30日，因1起新病例与早前确诊的13起病例，顺利路17号被列为感染群。,工业区,2020-4-30,14,"1.3295135,103.6987949",,17 Soon Lee Road
194,加基武吉6路23号,,4月30日，因5起新病例与早前确诊的12起病例，加基武吉6路23号被列为感染群。,工业区,2020-4-30,17,"1.3404724,103.9096846",,23 Kaki Bukit Road 6
193,卡尔通道10号,,4月30日，因8起新病例与早前确诊的12起病例，卡尔通道10号被列为感染群。,工业区,2020-4-30,20,"1.3182520,103.6734786",,10 Gul Drive
192,繁荣路2号,,4月30日，因3起新病例与早前确诊的20起病例，繁荣路2号被列为感染群。,工业区,2020-4-30,23,"1.3289320,103.7042676",,2 Fan Yoong Road
191,贲耐坊24号,,4月30日，因12起早前确诊病例，贲耐坊24号被列为感染群。,工业区,2020-4-30,12,"1.3127989,103.6805062",,24 Benoi Place
190,贲耐弯9号,,4月30日，因12起早前确诊病例，贲耐弯9号被列为感染群。,工业区,2020-4-30,12,"1.3206351,103.6934085",,9 Benoi Crescent
188,兀兰E5工业区182号,,4月29日，因1起新病例与早前确诊的23起病例，兀兰E5工业区182号被列为感染群。,工业区,2020-4-29,24,"1.4516787,103.7929956",,182 Woodlands Industrial Park E5
187,邵氏路17号,,4月29日，因5起新病例与早前确诊的6起病例，邵氏路17号被列为感染群。,工业区,2020-4-29,11,"1.3363058,103.8846830",,17 Shaw Road
186,圣诺哥大道33号,,4月29日，因7起早前确诊病例，圣诺哥大道33号被列为感染群。,工业区,2020-4-29,7,"1.4691896,103.8133343",,33 Senoko Way
185,国际路106号,,4月29日，因3起新病例与早前确诊的10起病例，国际路106号被列为感染群。,工业区,2020-4-29,13,"1.3285081,103.6834738",,106 International Road
184,德福1巷11号,,4月29日，因22起新病例与早前确诊的6起病例，德福1巷11号被列为感染群。,工业区,2020-4-29,28,"1.3574685,103.8943874",,11 Defu Lane 1
183,大士南1道商业大厦,,4月28日，因16起早前确诊病例，大士南1道的商业大厦被列为感染群。,工业区,2020-4-28,16,"1.3179309,103.6295909",,51H Tuas South Avenue 1
182,泰戈尔通道工程公司,,4月28日，因1起新病例与早前确诊的15起病例，位于汤申路上段泰戈尔通道10号（10 Tagore Drive）的工程公司被列为感染群。,工业区,2020-4-28,16,"1.3877233,103.8275542",,10 Tagore Drive
181,双溪加株1街建筑公司,,4月28日，因19起早前确诊病例，双溪加株1街（23H Sungei Kadut Street 1）建筑公司被列为感染群。,工业区,2020-4-28,19,"1.4091475,103.7486882",,23H Sungei Kadut Street 1
180,双溪加株环道33号宿舍,,4月28日，因2起新病例与早前确诊的66起病例，位于双溪加株环道33号（33 Sungei Kadut Loop）的宿舍被列为感染群。,工业区,2020-4-28,68,"1.4152217,103.7437334",,33 Sungei Kadut Loop
179,兀兰E1工业园2号,,4月27日，因22起早前确诊病例，兀兰E1工业园2号被列为感染群。,工业区,2020-4-27,22,"1.4530952,103.7951779",,2 Woodlands Industrial Park E1
178,卓源东路44号,,4月27日，因8起早前确诊病例，卓源东路44号被列为感染群。,工业区,2020-4-27,8,"1.3374338,103.7527928",,44 Toh Guan Road East
177,圣诺哥连路3号,,4月27日，因11起早前确诊病例，圣诺哥连路3号被列为感染群。,工业区,2020-4-27,11,"1.4594662,103.7960003",,3 Senoko Link
176,卡尔1街九号,,4月27日，因8起早前确诊病例，卡尔1街九号被列为感染群。,工业区,2020-4-27,8,"1.3178371,103.6691413",,9 Gul Street 1
175,兀兰台Lingjack宿舍,,4月27日，因4起早前确诊病例，兀兰台的Lingjack宿舍被列为感染群。,工业区,2020-4-27,4,"1.4509042,103.8050792",,Lingjack Dormitory (1 Woodlands Terrace)
174,海陆机器工程,,4月27日，因5起早前确诊病例，位于大士通道1号的海陆机器工程（Hai Leck Engineering）被列为感染群。,工业区,2020-4-27,5,"1.3226946,103.6587708",,Hai Leck Engineering Pte Ltd (12 Tuas Drive 1)
173,大士景广场133号,,4月26日，因4起早前确诊病例，大士景广场133号被列为感染群。,工业区,2020-4-26,4,"1.3012704,103.6279234",,133 Tuas View Square
172,双溪加株6街3号,,4月26日，因57起早前确诊病例，双溪加株6街3号被列为感染群。,工业区,2020-4-26,57,"1.4296238,103.7479552",,3 Sungei Kadut Street 6
171,建德弯5号,,4月26日，因6起新病例与早前确诊的18起病例，建德弯5号被列为感染群。,工业区,2020-4-26,24,"1.3320222,103.6900035",,5 Kian Teck Crescent
170,Proptech公司,,4月26日，因4起新病例与早前确诊的17起病例，圣诺哥路38号的Proptech私人有限公司被列为感染群。,工业区,2020-4-26,21,"1.4658348,103.8041545",,Proptech Pte Ltd (38 Senoko Road)
169,西海岸谷工地,,4月25日，因12起新病例，西海岸谷（West Coast Vale）的工地被列为感染群。,工业区,2020-4-25,12,"1.3200313,103.7540103",,a construction site at 107 West Coast Vale
168,马丁广场工地,,4月25日，因4起新病例与早前确诊的7起病例，马丁广场（Martin Place）的工地被列为感染群。,工业区,2020-4-25,11,"1.2934967,103.8381049",,the construction site at 8 Martin Place
167,德福南1街21号,,4月25日，因早前确诊的32起病例，德福南1街21号被列为感染群。,工业区,2020-4-25,32,"1.3440940,103.8985238",,21 Defu South Street 1
166,SCM Tuas Lodge客工宿舍,,4月25日，因早前确诊的14起病例，大士南大道的客工宿舍SCM Tuas Lodge客工宿舍被列为感染群。,工业区,2020-4-25,14,"1.2434702,103.6113190",,SCM Tuas Lodge (80 Tuas South Boulevard)
165,建德旅舍,,4月25日，因1起新病例与早前确诊的13起病例，建德道的建德旅舍被列为感染群。,社区,2020-4-25,14,"1.3328803,103.6938830",,Kian Teck Hostel (30 Kian Teck Avenue)
164,西雅丰盛港宿舍,,4月25日，因早前确诊的11起病例，裕廊惹兰巴班的客工专用宿舍西雅丰盛港宿舍（ASPRI-Westlite Papan）被列为感染群。此时，胜捷企业（Centurion）经营的五家宿舍全部出现感染病例。,工业区,2020-4-25,11,"1.3221084,103.7274807",,ASPRI-Westlite Papan (5 Jalan Papan)
163,大士10道11号,,4月24日，因1起新病例与早前确诊的11起病例，大士10道11号（11 Tuas Avenue 10）被列为感染群。,工业区,2020-4-24,12,"1.3307539,103.6469824",,11 Tuas Avenue 10
162,双溪加株道2号,,4月24日，因4起新病例与早前确诊的9起病例，双溪加株道2号（2 Sungei Kadut Avenue）被列为感染群。,工业区,2020-4-24,9,"1.3994305,103.7548862",,2 Sungei Kadut Avenue
161,邵氏路10号,,4月24日，因11起新病例与早前确诊的11起病例，邵氏路（Shaw Road）10号被列为感染群。,工业区,2020-4-24,22,"1.3371729,103.8844728",,10 Shaw Road
160,尼德路112号,,4月24日，因早前确诊的6起病例，尼德路（Neythal Road）112号被列为感染群。,工业区,2020-4-24,6,"1.3257623,103.7001255",,112 Neythal Road
159,西雅Juniper客工宿舍,,4月24日，因早前确诊的23起病例，位于万礼园23号的西雅Juniper客工宿舍被列为感染群。,工业区,2020-4-24,23,"1.4063028,103.7606146",,Westlite Juniper (23 Mandai Estate)
158,SSKBJV客工宿舍,,4月24日，因1起新病例与早前确诊的8起病例，位于丹那美拉海岸路31A号的SSKBJV客工宿舍 （31A Tanah Merah Coast Road）被列为感染群。,工业区,2020-4-24,9,"1.3184520,103.9858694",,SSKBJV Dormitory (31A Tanah Merah Coast Road)
157,Alaunia客工宿舍,,4月24日，因早前确诊的41起病例，位于海军部西路（Admiralty Road West）的Alaunia客工宿舍被列为感染群。,工业区,2020-4-24,41,"1.4586759,103.8035416",,Alaunia Lodge (Admiralty Road West)
156,市中酒店（Strand Hotel）,,4月24日，因5起新病例，明古连街的市中酒店（Strand Hotel）被列为感染群,社区,2020-4-24,5,"1.2986528,103.8497386",,Strand Hotel (25 Bencoolen Street)
