group,type,filterable,filter_desc,section,date,initial_count,coordinates,close_date,moh_name
121,大士南客工宿舍,,4月17日，因早前确诊的6起病例，大士南客工宿舍（Tuas South Dormitory）被列为感染群。,工业区,2020-4-17,6,"1.2714537,103.6326984",,Tuas South Dormitory (1 Tuas South Street 12)
120.003,接触者,,,,,,,,
120,Avery Lodge客工宿舍,,4月17日，因早前确诊的6起病例，Avery Lodge客工宿舍（Avery Lodge Dormitory）被列为感染群。4月19日被列为隔离区。,工业区,2020-4-17,6,"1.3212807,103.7298326",,Avery Lodge Dormitory (2D Jalan Papan)
119.011,接触者,,,,,,,,
119.006,接触者,,,,,,,,
119.004,接触者,,,,,,,,
119,裕廊本茱鲁客工宿舍,,4月17日，因5起新病例与早前确诊的11起病例，裕廊本茱鲁客工宿舍（Jurong Penjuru Dormitory）被列为感染群。,工业区,2020-4-17,16,"1.3163935,103.7307641",,Jurong Penjuru Dormitory (58 Penjuru Place)
118.012,接触者,,,,,,,,
118.001,接触者,,,,,,,,
118,双溪加株2街客工宿舍,,4月17日，因8起新病例，位于双溪加株2街4号（4 Sungei Kadut Street 2）的客工宿舍被列为感染群。,工业区,2020-4-17,8,"1.4133780,103.7510327",,4 Sungei Kadut Street 2
117.008,接触者,,,,,,,,
117.002,接触者,,,,,,,,
117,The Leo客工宿舍,,4月16日，因早前确诊的21起病例，位于加基武吉路的The Leo客工宿舍被列为感染群。,工业区,2020-4-16,21,"1.3372472,103.9038529",,The Leo dormitory (23 Kaki Bukit Road 3)
116.007,接触者,,,,,,,,
116,SJ客工宿舍,,4月16日，因1起新病例与早前确诊的6起病例，位于兀兰工业园E5的SJ客工宿舍被列为感染群。,工业区,2020-4-16,7,"1.4520656, 103.7927259",,SJ Dormitory (180 Woodlands Industrial Park E5)
115.001,接触者,,,,,,,,
115,西雅万礼客工宿舍,,4月16日，因28起新病例，西雅万礼（Westlite Mandai）客工宿舍被列为感染群。,工业区,2020-4-16,28,"1.4072978,103.7581856",,Westlite Mandai dormitory (34 Mandai Estate)
114.001,接触者,,,,,,,,
114,双溪加株4街客工宿舍,,4月16日，因早前确诊的6起病例，位于双溪加株（Sungei Kadut）4街17号的客工宿舍被列为感染群。,工业区,2020-4-16,6,"1.4175724,103.7442170",,
113,Grandwork大楼,,4月16日，因早前确诊的7起病例，位于双溪加株3街的Grandwork大楼被列为感染群。,工业区,2020-4-16,7,"1.4161249,103.7477282",,
112.07,接触者,,,,,,,,
112.01,接触者,,,,,,,,
112,建德弯客工宿舍,,4月15日，因4起早前确诊的病例，位于建德弯10号的客工宿舍被列为感染群。,工业区,2020-4-15,4,"1.3331730,103.6919420",,10 Kian Teck Crescent dormitory
111,建德客工宿舍,,4月15日，因1起新病例与早前确诊的3起病例，位于建德道26号的客工宿舍被列为感染群。,工业区,2020-4-15,4,"1.3292252,103.6945526",,Kian Teck Dormitory (26 Kian Teck Avenue)
110.002,接触者,,,,,,,,
110.001,接触者,,,,,,,,
110,马里士他路234号,,4月15日，因早前确诊的7起病例，位于马里士他路234号的店屋被列为感染群。 ,社区,2020-4-15,7,"1.3215205,103.8533544",,
109.004,接触者,,,,,,,,
109,万礼客工宿舍,,4月15日，因1起新病例与早前确诊的6起病例，位于万礼路460号的Mandai Lodge被列为感染群。,工业区,2020-4-15,7,"1.4105348,103.7684467",,Mandai Lodge I (460 Mandai Road)
108.012,接触者,,,,,,,,
108,PPT客工宿舍1A,,4月14日，因1起新病例与早前确诊的10起病例，位于本地最大感染群S11榜鹅客工宿舍旁的PPT宿舍1A被列为感染群。,工业区,2020-4-14,11,"1.4186264,103.8967762",,PPT Lodge 1A (8 Seletar North Link)
107.002,接触者,,,,,,,,
107,圣诺哥大道,,4月14日，圣诺哥大道（Senoko Way）第13座被列为感染群。,工业区,2020-4-14,,"1.4663691,103.8124442",,
106,圣诺哥环路,,4月13日，圣诺哥环路（Senoko Loop）第21B座被列为感染群。,工业区,2020-4-13,,"1.4563424,103.7975833",,
105,CitiWall公司,,4月13日，因早前确诊的6起病例，位于加基武吉弯的CitiWall公司被列为感染群。,工业区,2020-4-13,6,"1.3358547,103.9075329",,
104.001,接触者,,,,,,,,
104,ABC旅舍,,4月13日，因1起新病例与早前确诊的6起病例，位于惹兰古坡的ABC旅舍被列为感染群。,社区,,7,"1.3036689,103.8592675",,
103.008,接触者,,,,,,,,
103.007,接触者,,,,,,,,
103.002,接触者,,,,,,,,
103.001,接触者,,,,,,,,
103,科技园弯客工宿舍,,4月13日，因1起新病例与早前确诊的8起病例，位于科技园弯43号（43 Tech Park Crescent）的客工宿舍被列为感染群。,工业区,2020-4-13,9,"1.3094239,103.6297053",,43 Tech Park Crescent
102.017,家人及接触者,,,,,,,,
102,克兰芝大道客工宿舍,,4月13日，因早前确诊的6起病例，位于克兰芝大道（17 Kranji Way）的客工宿舍被列为感染群。,工业区,2020-4-13,6,"1.4357508,103.7477627",,
101,吉宝客工宿舍大楼“槐舍”,,位于武吉巴督23街的吉宝客工宿舍大楼“槐舍”（Acacia Lodge），于4月11日已被列为本地第六个隔离区。因3起新病例与早前确诊的12起病例，4月12日被列为感染群。,工业区,2020-4-12,15,"1.3398213,103.7560256",,Acacia Lodge (530-540 Bukit Batok Street 23)
100.012,接触者,,,,,,,,
100.008,接触者,,,,,,,,
100,大士村客工宿舍,,4月12日，因2起新病例与早前确诊的6起病例，位于大士南1道的大士村客工宿舍（Tuas View Dormitory）被列为感染群，4月16日被列为第九个隔离区。,工业区,2020-4-12,8,"1.3127040,103.6261294",,Tuas View Dormitory (70 Tuas South Avenue 1)
99,兀兰E1工业园36号,,4月12日，因早前确诊的20起病例，兀兰E1工业园36号（36 Woodlands Industrial Park E1）被列为感染群。,工业区,2020-4-12,20,"1.4541612,103.7972716",,36 Woodlands Industrial Park E1
98.001,家人,,,,,,,,
98,加冷客工宿舍,,4月12日，因早前确诊的5起病例，位于加冷道85号的客工宿舍Kallang Dormitory被列为感染群。,工业区,2020-4-12,5,"1.3106340,103.8667972",,85 Kallang Dormitory (85 Kallang Avenue)
97.007,家人和接触者,,,,,,,,
97.003,接触者,,,,,,,,
97,Black Tap餐厅,1,位于滨海湾金沙，因早前确诊的8起病例，于4月12日被列为感染群。5月7日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-12,8,"1.2825745,103.8585622",2020-5-7,
96.005,接触者,,,,,,,,
96.004,接触者,,,,,,,,
96.001,接触者,,,,,,,,
96,Kenyon/ UBS工地,,4月12日，因早前确诊的8起病例，位于槟榔路9号的Kenyon/ UBS工地被列为感染群。,工业区,2020-4-12,8,"1.2978395,103.8452782",,
95.003,接触者,,,,,,,,
95,麦当劳快餐店分店,,因1起新病例与早前确诊的3起病例，位于福临购物中心、丽都和百灵商业中心的三家店面，4月12日被列为感染群。,社区,2020-4-12,4,"1.3062487,103.8290349",,
94.001,接触者,,,,,,,,
94,Westlite兀兰客工宿舍,,4月11日，因早前确诊的8起病例，兀兰2段的Westlite宿舍被列为感染群。,工业区,2020-4-11,8,"1.4615256,103.8094389",,
93.015,接触者,,,,,,,,
93.0125,接触者,,,,,,,,
93.01,接触者,,,,,,,,
93.009,接触者,,,,,,,,
93,北海岸客工宿舍,,4月11日，因2起新病例与早前确诊的4起病例，北海岸道的北海岸宿舍（North Coast Lodge）被列为感染群，4月16日被列为第八个隔离区。,工业区,2020-4-11,6,"1.4562404,103.7866901",,North Coast Lodge (51 North Coast Avenue)
92,Cassia@Penjuru客工宿舍,,4月11日，因2起新病例与早前确诊的3起病例，本茱鲁径的Cassia@Penjuru宿舍被列为感染群，4月19日被列为隔离区。,工业区,2020-4-11,5,"1.3171784,103.7322648",,Cassia @ Penjuru (15 Penjuru Walk)
91.031,家人,,,,,,,,
91,双溪加株道客工宿舍,,4月10日，因早前确诊的4起病例，位于双溪加株道一个客工宿舍被列为感染群。,工业区,2020-4-10,4,"1.4073919,103.7535445",,
90,移民与关卡局大楼,1,4月10日，因1起新病例与早前确诊的4起病例，移民与关卡局（ICA）大楼被列为感染群。5月8日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-10,5,"1.3065956,103.8625939",2020-5-8,
89.002,接触者,,,,,,,,
89.001,接触者和家人,,,,,,,,
89,国大医院装修工地,,4月10日，因5起新病例与早前确诊的9起病例，新加坡国立大学医院一个装修工地被列为感染群。,工业区,2020-4-10,14,"1.2934887,103.7827363",,
88.003,接触者,,,,,,,,
88,邵氏路客工宿舍,,4月9日，因早前确诊的5起病例，位于邵氏路的客工宿舍Shaw Lodge被列为感染群，4月16日被列为第七个隔离区。,工业区,2020-4-9,5,"1.3371436,103.8839463",,Shaw Lodge (12 Shaw Road)
87.001,接触者,,,,,,,,
87,Little Gems托儿所,1,4月6日，因1起新病例与早前确诊的2起病例，位于宏茂桥62街的Little Gems托儿所被列为感染群。5月4日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-6,3,"1.3865403,103.8447164",2020-5-4,
86.044,接触者,,,,,,,,
86.0203,接触者,,,,,,,,
86.015,接触者,,,,,,,,
86,克兰芝路客工宿舍,,4月6日，因早前确诊的3起病例，克兰芝路12号的客工宿舍被列为感染群。,工业区,2020-4-6,3,"1.4306936,103.7592373",,Kranji Lodge I (12 Kranji Road)
85.001,接触者,,,,,,,,
85,淡滨尼客工宿舍,,4月5日，因3起新病例与早前确诊的2起病例，位于淡滨尼坊（2 Tampines Place）的淡滨尼客工宿舍被列为感染群，4月9日被列为隔离区。,工业区,2020-4-5,5,"1.3666378,103.9294399",,Tampines Dormitory (2 Tampines Place)
84.006,接触者,,,,,,,,
84.0039,接触者,,,,,,,,
84.002,接触者,,,,,,,,
84,高琳一号客工宿舍,,4月5日，因早前确诊的2起病例，位于海军部西路的高琳一号客工宿舍被列为感染群。,工业区,2020-4-5,2,"1.4598282,103.8200734",,Cochrane Lodge I (51 Admiralty Road West)
83.001,接触者,,,,,,,,
83,百得里路工地,1,4月5日，因早前确诊的4起病例，位于百得里路（Battery Road）6号的建筑工地被列为感染群。5月10日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,工业区,2020-4-5,4,"1.2854663,103.8517641",2020-5-10,
82.225,接触者,,,,,,,,
82.041,接触者,,,,,,,,
82.006,接触者,,,,,,,,
82,双溪登加客工宿舍,,4月4日，因1起新病例与早前确诊的2起病例，双溪登加客工宿舍被列为感染群，4月8日被列为隔离区。,工业区,2020-4-4,3,"1.3776047,103.7185336",,Sungei Tengah Lodge (500 Old Choa Chu Kang Road)
81.0091,接触者,,,,,,,,
81.0088,接触者,,,,,,,,
81.0076,接触者,,,,,,,,
81.00775,接触者,,,,,,,,
81.005,接触者,,,,,,,,
81,回利阁客工宿舍,,4月4日，因2起新病例与早前确诊的3起病例，位于卓源东路的Toh Guan Dormitory被列为感染群，临近之前已成为感染群的Westlite宿舍。4月6日被列为隔离区。,工业区,2020-4-4,5,"1.3382688,103.7531859",,
80,高琳二号客工宿舍,,4月4日，因早前确诊的4起病例，位于海军部西路的高琳二号客工宿舍被列为感染群。,工业区,2020-4-4,4,"1.4606587,103.8191747",,Cochrane Lodge II (49 Admiralty Road West)
79,Orange Ballroom,1,4月4日，因1起新病例与早前确诊的3起病例，位于芽笼路丹绒加东购物中心The Orange Ballroom婚宴场地被列为感染群，该4起病例是千人宴流水席宾客。5月2日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-4,4,"1.3163071,103.8943935",2020-5-2,
78.002,家人,,,,,,,,
78,Ce La Vi餐厅,,位于滨海湾金沙空中花园的餐厅，4月3日出现一起确诊病例，并与之前三起病例有关联，构成感染群。,社区,2020-4-3,4,"1.2846620,103.8610059",,
77.003,家人,,,,,,,,
77.002,接触者,,,,,,,,
77.001,接触者,,,,,,,,
77,板球俱乐部,1,4月3日，因1起新病例与早前确诊的5起病例，新加坡板球俱乐部被列为感染群。4月26日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-3,6,"1.2888934,103.8521317",2020-4-26,
76.035,接触者,,,,,,,,
76.034,接触者,,,,,,,,
76.005,接触者,,,,,,,,
76.00355,接触者,,,,,,,,
76.0035,接触者,,,,,,,,
76,Project Glory工地,,Project Glory建筑工地位于马吉街（Market Street），4月3日出现一起确诊病例，并与之前三起病例有关联，构成感染群。,工业区,2020-4-3,4,"1.2813404,103.8502488",,
75.003,家人,,,,,,,,
75,大士吉宝船厂,,三起病例于4月2日发现与大士吉宝船厂有关联，构成感染群。,工业区,2020-4-2,3,"1.3014848,103.6563459",,
74,麦士威地铁站工地,,4月2日，位于麦士威地铁站的工地出现两起新确诊病例，并与之前三起病例有关联，构成感染群。,工业区,2020-4-2,5,"1.2805333,103.8438837",,
73.06,接触者,,,,,,,,
73.055,接触者,,,,,,,,
73.048,家人,,,,,,,,
73.0435,接触者,,,,,,,,
73.0432,家人,,,,,,,,
73.036,接触者,,,,,,,,
73.034,家人,,,,,,,,
73.033,家人,,,,,,,,
73.0225,家人及接触者,,,,,,,,
73.0422,家人,,,,,,,,
73.015,接触者,,,,,,,,
73.0036,家人,,,,,,,,
73.002,接触者,,,,,,,,
73.025,接触者,,,,,,,,
73,慕斯达法购物中心,,4月2日，慕斯达法购物中心出现五起新确诊病例，并与之前六起病例有关联，构成感染群。,社区,2020-4-2,11,"1.3105320,103.8549998",,
72.27,家人,,,,,,,,
72.18,家人,,,,,,,,
72.15,家人,,,,,,,,
72.07,家人,,,,,,,,
71,李亚妹安老院,1,4月1日，李亚妹安老院有10人确诊，被列为感染群。5月8日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-4-1,10,"1.3308117,103.8401757",2020-5-8,
70,双溪加株环道客工宿舍,1,4月1日，因2起新病例与早前确诊的1起病例，位于双溪加株环道的宿舍被列为感染群。5月4日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,工业区,2020-4-1,3,"1.4095367,103.7438243",2020-5-4,
69.044,接触者,,,,,,,,
69.013,接触者,,,,,,,,
69.008,接触者,,,,,,,,
69,Westlite卓源客工宿舍,,位于卓源路的客工宿舍，3月31日有四起确诊病例，被列为感染群。4月5日因为确诊病例激增而被列为隔离区。,工业区,2020-3-31,4,"1.3358168,103.7514835",,Westlite Toh Guan dormitory (18 Toh Guan Road East)
68,Hero’s酒吧,,3月30日，位于沙球劳路（Circular Road）的Hero’s音乐和体育酒吧出现5起确诊病例，因此被列为感染群。,社区,2020-3-30,5,"1.2864276,103.8489635",,
67.002,家人和接触者,,,,,,,,
67,Wilby悠邸,,3月30日，位于威美路的悠邸（Wilby Residences）商务住宅出现7起确诊病例，因此被列为感染群。,社区,2020-3-30,7,"1.3319116,103.7880984",,
66.7003,接触者,,,,,,,,
66.6742,接触者,,,,,,,,
66.071,接触者,,,,,,,,
66.033,接触者,,,,,,,,
66.027,接触者,,,,,,,,
66.001,接触者,,,,,,,,
66,S11榜鹅客工宿舍,,3月30日，位于实里达北连路的S11榜鹅客工宿舍出现四起确诊病例，因此被列为感染群，4月5日因为确诊病例激增而被列为隔离区。,工业区,2020-3-30,4,"1.4169078,103.8960188",,S11 Dormitory @ Punggol (2 Seletar North Link)
65,婚纱店,1,3月29日，三名病例与位于义顺的婚纱店The Wedding Brocade有关联。婚纱店因此被列为感染群。4月26日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-3-29,3,"1.4373168,103.8420915",2020-4-26,
64.96,家人,,,,,,,,
64.95,家人,,,,,,,,
64.94,家人,,,,,,,,
64.83,接触者,,,,,,,,
64.81,家人,,,,,,,,
64.72,家人及接触者,,,,,,,,
64.71,家人,,,,,,,,
64.61,接触者及其家人,,,,,,,,
64.44,家人,,,,,,,,
64.38,家人,,,,,,,,
64.16,接触者,,,,,,,,
64.11,家人,,,,,,,,
63,新邮政,1,3月27日，位于友诺士路的新邮政中心有三人确诊，成为新的感染群。5月1日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-3-27,3,"1.3190271,103.8947585",2020-5-1,
62,杜佛阁国际学校,1,3月25日，杜佛阁国际学校（Dover Court International School）有三名职员确诊，成为新的感染群。5月8日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-3-25,3,"1.3055204,103.7790430",2020-5-8,
61.11,接触者,,,,,,,,
61.1,家人,,,,,,,,
61,凤山Sparkletots,,凤山Sparkletots学前教育中心在3月下旬出现至少十多名职员确诊。其中11个是校长（第601起病例）的家人。在新加坡警察部队的协助下，当局发现第566起病例，即中心校长的一名亲人曾在3月4日到过马来西亚，并可能在当地染病。当局相信是这名亲人把病毒传给了家属，包括这位校长。校长则是在与职员开会时，进一步传播病毒。,社区,2020-3-25,18,"1.3281683,103.9389179",,
60.95,家人,,,,,,,,
60.89,家人及其接触者,,,,,,,,
60.82,家人,,,,,,,,
60.77,家人,,,,,,,,
60.75,接触者,,,,,,,,
60.7,家人,,,,,,,,
60.57,接触者,,,,,,,,
60.54,接触者,,,,,,,,
60.52,接触者,,,,,,,,
60.46,接触者,,,,,,,,
60.29,家人及接触者,,,,,,,,
60.2,家人,,,,,,,,
60.12,接触者,,,,,,,,
60.06,接触者,,,,,,,,
50.98,家人,,,,,,,,
50.84,家人及接触者,,,,,,,,
50.82,接触者,,,,,,,,
50.68,家人,,,,,,,,
50.55,接触者,,,,,,,,
50.48,家人,,,,,,,,
50.36,接触者,,,,,,,,
50.35,接触者,,,,,,,,
50.3,接触者,,,,,,,,
50.18,接触者及其家人,,,,,,,,
50.17,家人,,,,,,,,
50.12,家人及接触者,,,,,,,,
50.11,家人,,,,,,,,
49,武吉知马新加坡教会,,3月16日，武吉知马新加坡教会出现4起确诊病例，该感染群与裕廊战备军协俱乐部晚宴感染群相关。,社区,2020-3-16,4,"1.3444428,103.7758013",,
48.91,接触者,,,,,,,,
48.74,家人及接触者,,,,,,,,
48.73,家人,,,,,,,,
48.65,接触者,,,,,,,,
48.46,接触者,,,,,,,,
48.44,家人,,,,,,,,
48.39,家人,,,,,,,,
48.32,接触者及其家人,,,,,,,,
48.3,接触者及其家人,,,,,,,,
48.26,接触者,,,,,,,,
48.25,家人,,,,,,,,
48.24,家人,,,,,,,,
48.23,接触者,,,,,,,,
48.18,家人,,,,,,,,
48.12,接触者,,,,,,,,
48.08,接触者,,,,,,,,
48.06,接触者,,,,,,,,
48.04,接触者,,,,,,,,
48.03,家人,,,,,,,,
48.02,家人及旅伴,,,,,,,,
48.01,家人,,,,,,,,
48.001,家人及接触者,,,,,,,,
47.98,接触者,,,,,,,,
47.95,接触者,,,,,,,,
47.9,家人及接触者,,,,,,,,
47.96,接触者,,,,,,,,
47.4,接触者,,,,,,,,
47.3,接触者,,,,,,,,
38,慕达金回教堂,,3月18日，卫生部将位于宏茂桥的慕达金回教堂（Masjid Al-Muttaqin）列为感染群之一。,社区,2020-3-18,3,"1.3703337,103.8460297",,
37.002,家人及接触者,,,,,,,,
36.006,家人,,,,,,,,
36,攀岩馆boulder+,1,3月11日，卫生部公布三起病例与位于加冷大道Aperia Mall的攀岩馆boulder+有关，该感染群与裕廊战备军协俱乐部晚宴感染群相关。4月18日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-3-11,3,"1.3097112,103.8643264",,
35,接触者,,,,,,,,
32,家人,,,,,,,,
29,家人,,,,,,,,
25,家人,,,,,,,,
21.52,家人及接触者,,,,,,,,
21.51,接触者,,,,,,,,
21.47,家人,,,,,,,,
21.46,家人及接触者,,,,,,,,
21.45,接触者,,,,,,,,
21.43,密切接触,,,,,,,,
21.2,家人及接触者,,,,,,,,
21.1,家人及接触者,,,,,,,,
21,裕廊战备军人协会晚宴,1,与2月15日傍晚在中餐馆美满楼举行的一场私人晚宴有关，餐馆设在裕廊战备军人协会俱乐部内。美满楼是千禧集团属下餐馆，餐馆当晚有两场晚宴，总共600人出席。两场都是歌唱导师的新年团拜活动。4月13日，该感染群未出现关联病例已超过28天，卫生部宣布不再追踪该感染群。,社区,2020-3-5,8,"1.3350072,103.7062787",2020-4-13,
20.5,WinTech,,,,,,,,
20.1,密切接触,,,,,,,,
20,Wizlearn Technologies,,2月28日，位于第二科学园的培训公司Wizlearn Technologies有四名职员确诊，成为又一个感染群。,社区,2020-2-28,4,"1.2885016,103.7795434",,
19.84,家庭聚会参与者,,,,,,,,
19.81,家人,,,,,,,,
19.3,密切接触,,,,,,,,
19,神召会恩典堂,,不止一名病例曾去过神召会恩典堂（Grace Assembly of God）位于东陵和武吉巴督的教堂。,社区,2020-2-12,2,"1.2943057,103.8163859",,
18.99812,接触者,,,,,,,,
18.998108,接触者,,,,,,,,
18.998104,家人及接触者,,,,,,,,
18.998103,家人及接触者,,,,,,,,
18.998102,家人,,,,,,,,
18.998098,家人,,,,,,,,
18.998096,家人,,,,,,,,
18.998061,接触者,,,,,,,,
18.997961,接触者,,,,,,,,
18.997773,接触者,,,,,,,,
18.997769,接触者,,,,,,,,
18.997657,接触者,,,,,,,,
18.99764,接触者,,,,,,,,
18.997529,接触者,,,,,,,,
18.997526,家人,,,,,,,,
18.997491,家人,,,,,,,,
18.997488,接触者,,,,,,,,
18.997484,接触者,,,,,,,,
18.997405,接触者,,,,,,,,
18.997303,接触者,,,,,,,,
18.997301,接触者,,,,,,,,
18.99727,家人,,,,,,,,
18.997259,接触者,,,,,,,,
18.997249,接触者,,,,,,,,
18.997246,家人,,,,,,,,
18.997207,家人,,,,,,,,
18.997193,接触者,,,,,,,,
18.997189,家人,,,,,,,,
18.997165,接触者,,,,,,,,
18.997158,接触者,,,,,,,,
18.997137,家人,,,,,,,,
18.997131,家人,,,,,,,,
18.9971109,接触者,,,,,,,,
18.9971101,家人,,,,,,,,
18.9971088,家人,,,,,,,,
18.9971085,家人,,,,,,,,
18.9971053,家人,,,,,,,,
18.9971032,家人,,,,,,,,
18.997063,接触者,,,,,,,,
18.997062,家人,,,,,,,,
18.997058,家人,,,,,,,,
18.997057,接触者,,,,,,,,
18.997041,接触者,,,,,,,,
18.99703,家人,,,,,,,,
18.99698,接触者,,,,,,,,
18.99686,家人,,,,,,,,
18.99627,接触者,,,,,,,,
18.99605,接触者,,,,,,,,
18.99589,接触者,,,,,,,,
18.99582,家人,,,,,,,,
18.99568,家人,,,,,,,,
18.99534,接触者,,,,,,,,
18.99532,家人,,,,,,,,
18.99528,家人,,,,,,,,
18.99501,家人,,,,,,,,
18.99494,接触者,,,,,,,,
18.99479,接触者,,,,,,,,
18.99468,家人,,,,,,,,
18.99465,接触者,,,,,,,,
18.99461,接触者及家人,,,,,,,,
18.99431,家人和接触者,,,,,,,,
18.99429,家人,,,,,,,,
18.99424,接触者,,,,,,,,
18.99379,接触者,,,,,,,,
18.99363,接触者,,,,,,,,
18.99362,家人,,,,,,,,
18.993545,家人,,,,,,,,
18.9935,接触者,,,,,,,,
18.99374,家人,,,,,,,,
18.99325,接触者,,,,,,,,
18.99323,家人,,,,,,,,
18.99322,家人,,,,,,,,
18.99317,家人,,,,,,,,
18.99313,家人,,,,,,,,
18.9931,家人和接触者,,,,,,,,
18.99309,家人,,,,,,,,
18.99308,家人,,,,,,,,
18.9929,家人,,,,,,,,
18.9925,接触者,,,,,,,,
18.9922,接触者,,,,,,,,
18.9915,家人,,,,,,,,
18.99097,接触者,,,,,,,,
18.99084,家人,,,,,,,,
18.99083,家人,,,,,,,,
18.9908,家人,,,,,,,,
18.99073,接触者,,,,,,,,
18.99072,家人,,,,,,,,
18.9906,接触者,,,,,,,,
18.99059,家人及接触者,,,,,,,,
18.99047,家人及接触者,,,,,,,,
18.99044,接触者,,,,,,,,
18.9903,家人,,,,,,,,
18.99025,家人,,,,,,,,
18.99015,接触者,,,,,,,,
18.99006,接触者,,,,,,,,
18.99005,接触者,,,,,,,,
18.99003,家人,,,,,,,,
18.99002,家人,,,,,,,,
18.9898,接触者,,,,,,,,
18.9897,家人,,,,,,,,
18.988,接触者,,,,,,,,
18.9872,家人,,,,,,,,
18.9867,接触者,,,,,,,,
18.9864,家人,,,,,,,,
18.9852,接触者,,,,,,,,
18.9849,接触者,,,,,,,,
18.9837,家人,,,,,,,,
18.9834,接触者,,,,,,,,
18.9832,家人,,,,,,,,
18.9821,接触者,,,,,,,,
18.9817,家人,,,,,,,,
18.9814,家人,,,,,,,,
18.978,家人及接触者,,,,,,,,
18.975,接触者,,,,,,,,
18.974,接触者,,,,,,,,
18.967,家人,,,,,,,,
18.965,家人,,,,,,,,
